id,title,overview,genres,release_date,adult,vote_count,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,overview_len,month,day,day_of_week
533156,Our Everest Challenge,ben fogle and victoria pendleton are guided by professional mountaineer kenton cool  a veteran of twelve everest summits  as they head up the mountain  into the notorious  death zone   physical exhaustion  extreme conditions and misfortune will test the pair to their limits  65 years after edmund hillary and tenzing norgay became the first climbers known to have reached the summit  since that day in 1953  more than 4000 people have successfully climbed everest but nearly 300 climbers have died on her icy slopes  as ben and victoria begin their expedition and face their fears  they know everest will be life changing ,,2018-08-30,False,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.0,8,30,Thu
533165,Counterfeiting in Suburbia,two teenagers have convinced themselves they re not doing anyone any harm by counterfeiting money but it all takes a dark turn when their debt ridden art teacher finds out they are using his classroom to make the counterfeit bills ,"['Thriller', 'TV Movie']",2018-07-01,False,4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,231.0,7,1,Sun
533210,Odyssey of Death,a man being investigated for his girlfriend s murder sets out on a two day journey to explore their debauched city in the back of a rented limo ,['Horror'],2018-03-27,False,2,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,144.0,3,27,Tue
533212,The Bleeding Game,when an ambitious sorcerer summons three eldritch spirits from the darkness between the stars and they mistakenly transform into vampires straight from the 1980 s  it s up to three fast talking slayer sisters to put a stake in the lost boys and silence the sorcerer before the town gets bled dry ,['Horror'],2018-05-31,False,2,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,296.0,5,31,Thu
522209,Back to the Moon,a charming illusionist  an adventurous queen of hearts and an evil green man journey through early cinema  film magic and love  back to the moon celebrates the artistry of film director and magician georges m li s ,['Animation'],2018-05-03,False,2,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.0,5,3,Thu
522282,The Manor, the manor   is the macabre tale of mental patient  amy hunter and the horrific events that follow her release from psychiatrist  dr  tryvniak   amy s mother  jane feels it best to immerse her daughter in the warm  family atmosphere of anders manor  inviting amy s long lost family to join them at the manor  the manor  however  has deeper plans for the hunter family  as gatecrashers and cultists arrive as the nefarious and ancient demonic force   goes to work  in short order  to sew madness and reap blood ,['Horror'],2018-05-15,False,5,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,510.0,5,15,Tue
543463,"Right Place, Wrong Tim",right place  wrong tim follows the bell family  a dynasty of clockmakers who run dagenham s infamous  hells bells  clock shop  in channel 4 s most successful essex set comedy since jamie s school dinners  during a routine live taping  the cast of thespians are suddenly derailed by the entrance of a clone of tim ,,2018-08-27,False,2,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.0,8,27,Mon
543477,Long Way Back Home,a man returns to his hometown of memphis looking for his brothers  who are in trouble with the law  inspired by the song  long way back home  by lucero ,['Drama'],2018-08-20,False,2,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,152.0,8,20,Mon
543490,My Husband's Double Life,when sabrina suspects her husband fletcher s possible infidelity with his numerous business trips to paris  she discovers he has another wife and reveals illegal business dealings with his father in law  which he will stop at nothing to protect  now it s not only her marriage that s on the line  but her life ,,2018-08-18,False,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.0,8,18,Sat
543581,2 Die For,2 die for is a horror anthology of short horror films from cult underground indie horror filmmakers from across the globe  this fast paced horror compendium of short horror films won t give you time to catch your breath  your heart will race  you will sweat uncontrollably  and you will be shocked to death  an anthology of horror stories helmed by more than 20 directors from the dark depths of horror s underground  what would you do if you only had two minutes to live    find out in 2 die for ,,2018-04-09,False,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.0,4,9,Mon
