class,timestamp,org,repo,size_KB,size,pull_count,errors
COGSCI 1,2019-09-16 23:00:00,ds-modules,COGSCI-1,31983.0,145.0,5,0.0
COGSCI 1,2019-09-17 00:00:00,ds-modules,COGSCI-1,31983.0,145.0,22,0.0
COGSCI 1,2019-09-17 01:00:00,ds-modules,COGSCI-1,617.0,145.0,8,0.0
COGSCI 1,2019-09-17 02:00:00,ds-modules,COGSCI-1,31983.0,145.0,7,0.0
COGSCI 1,2019-09-17 03:00:00,ds-modules,COGSCI-1,26153.0,145.0,14,0.0
COGSCI 1,2019-09-17 04:00:00,ds-modules,COGSCI-1,31983.0,145.0,9,0.0
COGSCI 1,2019-09-17 05:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-17 06:00:00,ds-modules,COGSCI-1,26153.0,145.0,10,0.0
COGSCI 1,2019-09-17 07:00:00,ds-modules,COGSCI-1,617.0,145.0,7,176.25
COGSCI 1,2019-09-17 08:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,0.0
COGSCI 1,2019-09-17 13:00:00,ds-modules,COGSCI-1,617.0,145.0,2,0.0
COGSCI 1,2019-09-17 15:00:00,ds-modules,COGSCI-1,26153.0,145.0,6,0.0
COGSCI 1,2019-09-17 16:00:00,ds-modules,COGSCI-1,26153.0,145.0,40,0.0
COGSCI 1,2019-09-17 17:00:00,ds-modules,COGSCI-1,617.0,145.0,26,0.0
COGSCI 1,2019-09-17 18:00:00,ds-modules,COGSCI-1,617.0,145.0,12,0.0
COGSCI 1,2019-09-17 19:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,385.0
COGSCI 1,2019-09-17 20:00:00,ds-modules,COGSCI-1,617.0,145.0,24,0.0
COGSCI 1,2019-09-17 21:00:00,ds-modules,COGSCI-1,617.0,145.0,24,0.0
COGSCI 1,2019-09-17 22:00:00,ds-modules,COGSCI-1,26153.0,145.0,20,0.0
COGSCI 1,2019-09-17 23:00:00,ds-modules,COGSCI-1,31983.0,145.0,51,0.0
COGSCI 1,2019-09-18 00:00:00,ds-modules,COGSCI-1,617.0,145.0,6,0.0
COGSCI 1,2019-09-18 01:00:00,ds-modules,COGSCI-1,617.0,145.0,19,0.0
COGSCI 1,2019-09-18 02:00:00,ds-modules,COGSCI-1,31983.0,145.0,23,0.0
COGSCI 1,2019-09-18 03:00:00,ds-modules,COGSCI-1,26153.0,145.0,18,0.0
COGSCI 1,2019-09-18 04:00:00,ds-modules,COGSCI-1,617.0,145.0,24,0.0
COGSCI 1,2019-09-18 05:00:00,ds-modules,COGSCI-1,31983.0,145.0,11,0.0
COGSCI 1,2019-09-18 06:00:00,ds-modules,COGSCI-1,26153.0,145.0,8,0.0
COGSCI 1,2019-09-18 07:00:00,ds-modules,COGSCI-1,88000.0,145.0,5,297.5
COGSCI 1,2019-09-18 14:00:00,ds-modules,COGSCI-1,617.0,145.0,2,0.0
COGSCI 1,2019-09-18 15:00:00,ds-modules,COGSCI-1,88000.0,145.0,1,0.0
COGSCI 1,2019-09-18 16:00:00,ds-modules,COGSCI-1,26153.0,145.0,27,0.0
COGSCI 1,2019-09-18 17:00:00,ds-modules,COGSCI-1,26153.0,145.0,15,0.0
COGSCI 1,2019-09-18 18:00:00,ds-modules,COGSCI-1,26153.0,145.0,39,0.0
COGSCI 1,2019-09-18 19:00:00,ds-modules,COGSCI-1,26153.0,145.0,16,495.0
COGSCI 1,2019-09-18 20:00:00,ds-modules,COGSCI-1,26153.0,145.0,13,0.0
COGSCI 1,2019-09-18 21:00:00,ds-modules,COGSCI-1,26153.0,145.0,6,0.0
