Repository,Type,#,User,Title,State,Created,Updated,URL
berkeley-dsep-infra/datahub,Issue,597,yuvipanda,Collect and store operational metrics for our deployments,open,03/15/19 03:57:09,03/15/19 03:57:09,https://github.com/berkeley-dsep-infra/datahub/issues/597
berkeley-dsep-infra/datahub,Issue,596,yuvipanda,Evaluate secret management options for this repository,open,03/11/19 01:33:55,06/14/19 08:24:16,https://github.com/berkeley-dsep-infra/datahub/issues/596
berkeley-dsep-infra/datahub,Issue,573,ericvd-ucb,Secure Data,open,02/21/19 17:37:48,02/25/19 09:31:18,https://github.com/berkeley-dsep-infra/datahub/issues/573
berkeley-dsep-infra/datahub,Issue,557,yuvipanda,Provide extra RAM for module developers,open,02/05/19 17:08:34,02/05/19 17:18:32,https://github.com/berkeley-dsep-infra/datahub/issues/557
berkeley-dsep-infra/datahub,Issue,550,yuvipanda,Handle student information securely during support requests,open,02/01/19 16:58:38,02/01/19 17:08:12,https://github.com/berkeley-dsep-infra/datahub/issues/550
berkeley-dsep-infra/datahub,Issue,537,yuvipanda,Set up process for keeping up to date list of classes using various hubs,open,02/01/19 11:41:51,02/01/19 11:42:21,https://github.com/berkeley-dsep-infra/datahub/issues/537
berkeley-dsep-infra/datahub,Issue,536,yuvipanda,Document deploying a change,open,02/01/19 11:38:18,02/01/19 11:38:18,https://github.com/berkeley-dsep-infra/datahub/issues/536
berkeley-dsep-infra/datahub,Issue,534,yuvipanda,Document setting up new hub,open,02/01/19 11:35:02,02/01/19 11:37:09,https://github.com/berkeley-dsep-infra/datahub/issues/534
berkeley-dsep-infra/datahub,Issue,528,felder,Coordinating merges from staging->prod for support issues,open,01/31/19 15:59:55,02/01/19 12:00:22,https://github.com/berkeley-dsep-infra/datahub/issues/528
berkeley-dsep-infra/datahub,Issue,510,yuvipanda,Test that built notebook runs in CI,open,01/29/19 11:17:55,02/01/19 11:44:56,https://github.com/berkeley-dsep-infra/datahub/issues/510
berkeley-dsep-infra/datahub,Issue,476,yuvipanda,Automate using class rosters for resource differentiation,open,01/23/19 08:43:08,05/01/19 10:47:04,https://github.com/berkeley-dsep-infra/datahub/issues/476
