"Series";"Time";"Value"
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-09T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-10T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-10T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-11T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-11T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-12T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-12T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-13T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-13T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-14T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-14T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-15T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-15T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-16T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-16T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-17T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-17T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-18T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-18T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-19T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-19T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-20T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-20T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-21T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-21T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-22T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-22T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-23T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-23T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-24T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-24T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-25T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-25T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-26T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-26T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-27T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-27T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-07-28T00:00:00-07:00";null
