timestamp,value
2019-11-30 07:00:00,270.0
2019-11-30 19:00:00,210.0
2019-12-01 07:00:00,245.0
2019-12-01 19:00:00,158.75
2019-12-02 07:00:00,266.25
2019-12-02 19:00:00,203.75
2019-12-03 07:00:00,193.75
2019-12-03 19:00:00,447.5
2019-12-04 07:00:00,396.25
2019-12-04 19:00:00,368.75
2019-12-05 07:00:00,628.75
2019-12-05 19:00:00,396.25
2019-12-06 07:00:00,272.5
2019-12-06 19:00:00,396.25
2019-12-07 07:00:00,88.75
2019-12-07 19:00:00,28.75
2019-12-08 07:00:00,102.5
2019-12-08 19:00:00,81.25
2019-12-09 07:00:00,88.75
2019-12-09 19:00:00,306.25
2019-12-10 07:00:00,268.75
2019-12-10 19:00:00,231.25
2019-12-11 07:00:00,167.5
2019-12-11 19:00:00,62.5
2019-12-12 07:00:00,181.25
2019-12-12 19:00:00,110.0
2019-12-13 07:00:00,31.25
2019-12-13 19:00:00,113.75
2019-12-14 07:00:00,60.0
2019-12-14 19:00:00,137.5
2019-12-15 07:00:00,31.25
2019-12-15 19:00:00,46.25
2019-12-16 07:00:00,298.75
2019-12-16 19:00:00,558.75
2019-12-17 07:00:00,233.75
2019-12-17 19:00:00,258.75
2019-12-18 07:00:00,305.0
2019-12-18 19:00:00,225.0
2019-12-19 07:00:00,5.0
2019-12-19 19:00:00,232.5
2019-12-20 07:00:00,30.0
2019-12-20 19:00:00,221.25
2019-12-21 19:00:00,1.25
2019-12-22 07:00:00,7.5
2019-12-22 19:00:00,2.5
2019-12-23 07:00:00,5.000104168836851
2019-12-23 19:00:00,2.5
2019-12-24 07:00:00,1.25
2019-12-25 07:00:00,2.5
2019-12-25 19:00:00,60.0
2019-12-26 07:00:00,62.5
2019-12-27 07:00:00,2.5
2019-12-27 19:00:00,2.5
2019-12-28 07:00:00,43.75
2019-12-29 07:00:00,62.5
2019-12-30 07:00:00,2.5
2019-12-30 19:00:00,7.5
2019-12-31 07:00:00,1.25
2019-12-31 19:00:00,2.5
2020-01-01 19:00:00,8.75
2020-01-03 07:00:00,8.75
2020-01-03 19:00:00,60.0
2020-01-04 07:00:00,2.5
2020-01-05 19:00:00,61.25
2020-01-06 07:00:00,185.0
2020-01-06 19:00:00,7.5
2020-01-07 19:00:00,3.7500312502604185
2020-01-08 07:00:00,10.0
2020-01-08 19:00:00,6.25
2020-01-09 19:00:00,5.000062500781261
2020-01-10 07:00:00,62.5
2020-01-10 19:00:00,63.75
2020-01-11 07:00:00,118.75
2020-01-11 19:00:00,2.5
2020-01-12 07:00:00,60.0
2020-01-12 19:00:00,122.5
2020-01-13 07:00:00,6.25
2020-01-13 19:00:00,2.5
2020-01-14 07:00:00,3.75
2020-01-14 19:00:00,5.0
